Trà Sữa Nướng Ken Sport,"414 Nguyễn Hữu Thọ,Quận Cẩm Lệ,Đà Nẵng",6.0,"Café/Dessert-Món Việt- Cặp đôi, Gia đình-Chi nhánh",09:00 - 21:30,13.000đ -25.000đ
Phố Cẩm Cafe - Cafe Sân Vườn,"Lô 12 - 15 Nguyễn Xuân Hữu, P. Hoà Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.3,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Giới văn phòng",06:00 - 22:00,10.000đ -79.000đ
Simple Coffee - Phan Anh,"3 Phan Anh, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.1,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Giới văn phòng-Chi nhánh",07:00 - 21:00,15.000đ -30.000đ
Bánh Mì Phá Lấu Tư Hổ - Bánh Mì Phá Lẩu - Đinh Gia Trinh,"Đô Đốc lộc Đinh Gia Trinh, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",06:00 - 10:00,
Thủy Yên - Đặc Sản Huế,"53 Tú Mỡ, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",9.3,"Quán ăn-Món Miền Trung- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 21:00,10.000đ -40.000đ
Banana Is Chuối - Bánh Chuối Chiên,"100 Phạm Phú Tiết, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.5,"Ăn vặt/vỉa hè-Món Miền Nam- Sinh viên, Gia đình, Giới văn phòng",13:00 - 21:00,7.000đ -7.000đ
Bánh Mì Ốp La - Xíu Mại & Bò Kho,"109 Đỗ Thúc Tịnh,Quận Cẩm Lệ,Đà Nẵng",4.2,"Ăn vặt/vỉa hè-Món Việt- Gia đình, Giới văn phòng",06:00 - 10:00,10.000đ -25.000đ
Đảo Nổi Quán - Hải Sản Tươi Sống,"Khu Đảo Nổi Cẩm Lệ,Quận Cẩm Lệ,Đà Nẵng",6.3,"Quán nhậu-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",10:00 - 22:30,30.000đ -150.000đ
Bún Thịt Nướng Cô Năm,"124 Lương Nhữ Hộc,Quận Cẩm Lệ,Đà Nẵng",8.4,"Quán ăn,Shop Online,Giao cơm văn phòng,Khu Ẩm Thực-Món Việt- Cặp đôi, Nhóm hội, Giới văn phòng",06:00 - 21:00,25.000đ -30.000đ
La's Cafe,"Nguyễn Phước Lan (Gần Cầu Hòa Xuân),Quận Cẩm Lệ,Đà Nẵng",8.4,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",07:00 - 11:30,10.000đ -30.000đ
Ryn Shop - Bar Equipment & Coffee,"60 Nguyễn Quý Đức, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:00 - 22:00,15.000đ -200.000đ
Nhà Hàng Nam Hào 2 - Chuyên Món Ăn Đồng Quê & Sông Núi,"251 Lê Đại Hành,Quận Cẩm Lệ,Đà Nẵng",8.0,"Nhà hàng-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Khách du lịch",08:30 - 22:30,40.000đ -350.000đ
CukCuk BBQ - Đinh Văn Chấp,"90 Đinh Văn Chấp, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",8.1,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Khách du lịch",11:00 - 14:00,65.000đ -120.000đ
Rose Coffee - Ngôi Nhà Hoa Hồng,"63 Bùi Thiện Ngộ,Quận Cẩm Lệ,Đà Nẵng",8.2,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",07:00 - 22:00,20.000đ -50.000đ
HTK Coffee & Trà Chanh,"32 Nguyễn Phước Lan (Ngã Tư Nguyễn Phước Lan - Mai Chí Thọ),Quận Cẩm Lệ,Đà Nẵng",8.4,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 22:00,10.000đ -35.000đ
Mì Quảng Dì Ba,"Ngã Tư Hoàng Đạo Thúy - Nguyễn Phước Tấn,Quận Cẩm Lệ,Đà Nẵng",7.2,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Nhóm hội",06:00 - 10:00,12.000đ -15.000đ
Trà Sữa Ăn Vặt Sấm Sét - Lương Đình Của,"01 Lương Định Của, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.4,Café/Dessert,06:00 - 22:00,5.000đ -40.000đ
Lò Bánh Mì Ly Na,"Đô Đốc Lộc,Quận Cẩm Lệ,Đà Nẵng",8.2,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Nhóm hội",07:00 - 22:00,5.000đ -50.000đ
Nem Dì Lài - Đặc Sản Nha Trang,"70 Bùi Kỷ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,"Quán ăn-Nha Trang- Gia đình, Nhóm hội, Giới văn phòng",15:00 - 21:00,20.000đ -320.000đ
Cháo Dinh Dưỡng Linh Nhi - Cháo - Bình Thái 1,"38 Bình Thái 1,P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.0,"Quán ăn-Món Miền Trung- Gia đình, Trẻ em",06:00 - 12:00,10.000đ -15.000đ
Selfwing V-Garden Café,"50 Bùi Thiện Ngộ,Quận Cẩm Lệ,Đà Nẵng",6.0,Café/Dessert,08:00 - 20:00,30.000đ -50.000đ
Hạ Duy Quán - Bò Né,"133 Phạm Tứ,Quận Cẩm Lệ,Đà Nẵng",6.1,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",06:00 - 21:30,20.000đ -40.000đ
Pate Ông Sáng Đà Nẵng,"K259/9/1 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",9.8,"Shop Online-Món Việt- Gia đình, Nhóm hội",07:00 - 23:00,65.000đ -170.000đ
Thính - Ẩm Thực Hà Nội,"37 Phan Khôi, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.6,"Quán ăn-Món Bắc- Sinh viên, Gia đình, Nhóm hội, Giới văn phòng",10:00 - 22:00,5.000đ -40.000đ
Cafe La,"36 Nguyễn Văn Thông, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,Café/Dessert,07:00 - 18:00,10.000đ -50.000đ
M-1989 Coffee - Cafe Muối,"4 Cẩm Bắc 8, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.6,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng, Khách du lịch-Chi nhánh",07:00 - 21:00,13.000đ -25.000đ
King Cua - Cơm Tự Chọn & Bún Riêu Cua,"286 Xô Viết Nghệ Tĩnh,Quận Cẩm Lệ,Đà Nẵng",8.0,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:00 - 14:00,25.000đ -40.000đ
Mr.Beer Food & Beer,"141 Xô Viết Nghệ Tĩnh, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.4,Nhà hàng,09:00 - 22:00,45.000đ -150.000đ
Sushi Bơ - Sushi - Trần Đình Nam,"K155/83/9 Trần Đình Nam, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",7.5,"Shop Online-Quốc tế- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",09:00 - 22:00,
Nem's Shop Bakeries - Trường Chinh,"K1226/35 Trường Chinh,Quận Cẩm Lệ,Đà Nẵng",9.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",09:00 - 22:00,22.000đ -42.000đ
Farmer Coffee,"48 - 50 Lê Đại Hành, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.8,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",07:00 - 22:00,10.000đ -30.000đ
96s Food - Bún Đậu Mắm Tôm - Shop Online,"01 Đoàn Nguyễn Thục, P. Hoà Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",10.0,"Quán ăn,Shop Online",10:00 - 20:00,25.000đ -45.000đ
Mây Ngàn Cafe,"93 Ông Ích Đường,Quận Cẩm Lệ,Đà Nẵng",9.2,Café/Dessert-Món Việt- Sinh viên,07:00 - 22:00,8.000đ -25.000đ
Seeds Coffee,"8 Thành Thái, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",06:30 - 22:00,19.000đ -45.000đ
R&B Coffee,"63 Lương Định Của, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.4,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",06:00 - 22:00,15.000đ -35.000đ
Zế's Cakes,"621 Tôn Đản, P. Hoà Phát,Quận Cẩm Lệ,Đà Nẵng",8.4,"Tiệm bánh-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 21:30,30.000đ -50.000đ
Quán Nhậu 777,"Ven Sông Đường Thăng Long,Quận Cẩm Lệ,Đà Nẵng",7.6,"Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:30,40.000đ -150.000đ
Mì Quảng 331,"119 Lê Đình Kỵ, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",7.2,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",06:00 - 14:00,15.000đ -20.000đ
Thái Bảo - Cafe & Trà Sữa,"168 Lương Nhữ Hộc, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.6,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội",06:30 - 22:00,10.000đ -25.000đ
Bánh Mì Cô Hạ,"Ngã tư Lê Đại Hành - Nguyễn Phước Tấn,Quận Cẩm Lệ,Đà Nẵng",8.4,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Giới văn phòng",05:00 - 09:00,10.000đ -15.000đ
Ram Bắp Quê Mình,"39 Cồn Dầu 1, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",5.0,"Quán ăn-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",06:00 - 21:00,6.000đ -21.000đ
Thu Hường - Quán Cơm - Hồ Nguyên Trừng,"Đối Diện 108 Hồ Nguyên Trừng,Quận Cẩm Lệ,Đà Nẵng",10.0,"Quán ăn,Giao cơm văn phòng-Món Việt- Sinh viên, Gia đình, Giới văn phòng",09:00 - 20:30,20.000đ -35.000đ
Quán Như Ý - Cơm & Bún Bò Huế,"30 Lê Thạch, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",8.0,"Quán ăn-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",07:00 - 01:24,15.000đ -20.000đ
Bún Hương - Phạm Tứ,"208 Phạm Tứ,Quận Cẩm Lệ,Đà Nẵng",5.3,"Quán ăn-Món Miền Trung- Sinh viên, Cặp đôi, Gia đình",06:00 - 22:00,15.000đ -25.000đ
"Bánh Tiêu 1K & Bao Chiên 2,5K","Chân cầu Nguyễn Tri Phương,Quận Cẩm Lệ,Đà Nẵng",9.2,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",14:00 - 17:00,1.000đ -2.500đ
Rex Coffee,"144 Xô Viết Nghệ Tĩnh,Quận Cẩm Lệ,Đà Nẵng",7.2,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",07:00 - 22:00,10.000đ -30.000đ
Bún Bà Vân,"159 Cách Mạng Tháng 8,Quận Cẩm Lệ,Đà Nẵng",9.6,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Nhóm hội",06:00 - 10:00,15.000đ -25.000đ
Ớt Sừng - Nhậu Bình Dân,"Ngã 4 Đinh Liệt - Phan Khoang, P. An Hoà,Quận Cẩm Lệ,Đà Nẵng",8.4,"Quán ăn,Quán nhậu-Món Việt- Gia đình, Nhóm hội",15:00 - 22:00,20.000đ -180.000đ
Mộc Việt Coffee,"142 Đỗ Thúc Tịnh, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.9,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 12:00,10.000đ -30.000đ
Quán 79 - Bánh Canh Cá & Cá Hấp,"1 Chu Mạnh Trinh, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",09:00 - 21:00,25.000đ -45.000đ
Sofia Cafe,"Ngã 4 Đô Đốc Tuyết - Dương Đức Nhan, P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",05:30 - 22:00,10.000đ -25.000đ
Lucky Quán - Nhậu Bình Dân,"Lô 24 - 25 Xô Viết Nghệ Tĩnh,Quận Cẩm Lệ,Đà Nẵng",5.4,"Quán nhậu-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",10:00 - 22:00,45.000đ -1.200.000đ
Quán Bún Chả Cá - Tố Hữu,"300 Tố Hữu, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.0,Quán ăn,06:00 - 10:00,15.000đ -20.000đ
Ruby Cafe - Yên Thế,"Yên Thế, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",7.0,"Café/Dessert-Món Việt- Nhóm hội, Giới văn phòng",06:30 - 22:00,7.000đ -20.000đ
Bánh Căn Đà Lạt - Trần Ngọc Sương,"63 Trần Ngọc Sương, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.0,"Quán ăn-Đà Lạt- Gia đình, Nhóm hội, Giới văn phòng",05:00 - 19:00,10.000đ -15.000đ
Cơm Sườn Sài Gòn & Gỏi Đu Đủ Ty Ty,"40 Võ Chí Công , P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,"Ăn vặt/vỉa hè-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",07:30 - 22:00,20.000đ -35.000đ
Tiệm Nhà Lee - Trà Sữa & Ăn Vặt - Lê Trọng Tấn,"270 Lê Trọng Tấn, P. Hòa Phát,Quận Cẩm Lệ,Đà Nẵng",8.8,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:00,
Sky Beer - Nhà Hàng Bia Đức,"41 - 42 - 43 Nguyễn Phước Lan, P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",4.5,"Nhà hàng-Món Á,Món Âu- Cặp đôi, Gia đình, Nhóm hội",10:30 - 23:00,40.000đ -150.000đ
Muối Hảo Hảo Chua Cay & Cơm Cháy Khô Gà - Shop Online,"37 Hòa An 4,Quận Cẩm Lệ,Đà Nẵng",10.0,"Shop Online-Món Việt- Sinh viên, Gia đình, Giới văn phòng",07:00 - 22:00,10.000đ -40.000đ
Hello 1$ - Lẩu & Nướng,"73 Bùi Kỷ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.7,"Quán nhậu-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",16:00 - 22:00,35.000đ -150.000đ
Hội Cafe - Boardgame,"196 - 198 Hà Huy Giáp, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.6,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 22:00,15.000đ -45.000đ
Tỏi Cafe,"75 Phan Anh,Quận Cẩm Lệ,Đà Nẵng",8.7,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",06:30 - 21:00,15.000đ -30.000đ
B&B Coffee,"1 Hòa An 3, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",7.9,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",07:00 - 22:00,10.000đ -30.000đ
Bò Khô Phú Sang - Shop Online,"64 Hoàng Đạo Thúy, P. Hòa Phát,Quận Cẩm Lệ,Đà Nẵng",8.1,"Shop Online-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",07:00 - 22:00,70.000đ -700.000đ
SaTouKiBi - Nước Mía Sầu Riêng & Sữa Dừa - 31 Cao Sơn Pháo,"31 Cao Sơn Pháo, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",9.4,"Ăn vặt/vỉa hè-Món Việt,Đặc biệt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Trẻ em",09:00 - 22:00,
Bếp Mẹ Shin - Shop Online,"231 Lê Thạch, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",9.2,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",06:00 - 22:00,35.000đ -280.000đ
Lake Bus Coffee,"77 Nguyễn Hàng, P. Hoà Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",7.1,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",06:00 - 22:00,12.000đ -30.000đ
Trà Chanh Bụi Phố - Hà Huy Giáp,"168 Hà Huy Giáp, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.1,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình",08:00 - 23:00,10.000đ -25.000đ
Amigos Cafe,"10 Thành Thái, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.7,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",06:30 - 22:00,12.000đ -30.000đ
Ngọt Tea & Coffee,"200 Lương Nhữ Hộc, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội",07:00 - 22:30,
Sunshine Milk Tea - Phạm Thế Hiển,"53 Phạm Thế Hiển,Quận Cẩm Lệ,Đà Nẵng",7.8,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình",08:00 - 21:30,10.000đ -25.000đ
Ông Toàn - Food & Coffee - Xô Viết Nghệ Tĩnh,"117 - 119 Xô Viết Nghệ Tĩnh,Quận Cẩm Lệ,Đà Nẵng",9.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",05:00 - 22:00,25.000đ -45.000đ
Trứng Lộn Hường Mỹ - Bàu Tràm,"04 Bàu Tràm 2,Quận Cẩm Lệ,Đà Nẵng",7.7,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",17:00 - 22:00,5.000đ -10.000đ
Mr.King Cafe,"293 Văn Tiến Dũng, P. Hoà Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 22:00,15.000đ -30.000đ
Millennium Cafe,"23 Nguyễn Công Hoan,Quận Cẩm Lệ,Đà Nẵng",7.0,"Café/Dessert-Món Việt- Cặp đôi, Nhóm hội",06:00 - 22:00,10.000đ -30.000đ
"Quán Tám Lác - Cơm, Nhậu Bình Dân","86 Vũ Trọng Hoàng,Quận Cẩm Lệ,Đà Nẵng",8.6,"Quán ăn,Quán nhậu-Món Việt- Gia đình, Nhóm hội",10:30 - 21:30,15.000đ -60.000đ
Bánh Cuốn Kim Chi,"K47/5 Bình Thái 1, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",10.0,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội",06:00 - 12:00,
Mật Ong Rừng Nguyên Chất - Shop Online,"597 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",8.2,"Shop Online-Món Việt- Sinh viên, Gia đình, Giới văn phòng",09:00 - 21:00,80.000đ -200.000đ
Cường Anh Quán - Đặc Sản Quảng Trị,"276-278 Nguyễn Phước Lan, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,Quán ăn,06:00 - 20:00,5.000đ -30.000đ
Chuột Coffee And Tea - Trà Sữa & Ăn Vặt - 1030 Tôn Đản,"1030 Tôn Đản, P. Hòa Thọ Tây,Quận Cẩm Lệ,Đà Nẵng",10.0,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",09:00 - 22:00,
Tiệm Sữa Nhà Ngoại - 54 Nguyễn Hành,"54 Nguyễn Hành, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.4,"Café/Dessert-Món Việt- Sinh viên, Gia đình, Giới văn phòng",06:00 - 22:00,15.000đ -25.000đ
Cháo Dinh Dưỡng Bảo An,"31 Nguyễn Nhàn,Quận Cẩm Lệ,Đà Nẵng",8.6,Quán ăn-Món Miền Trung- Trẻ em,06:00 - 21:00,10.000đ -15.000đ
Hòa An Viên Cafe,"Nguyễn Văn Tạo, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",7.0,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:00 - 22:00,7.000đ -20.000đ
Ruby Koi Coffee - Sinh Vật Cảnh,"33 Xuân Thủy, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.1,"Café/Dessert-Món Việt- Cặp đôi, Nhóm hội, Giới văn phòng",06:00 - 21:00,12.000đ -25.000đ
Ty Nguyễn - 66A Đặng Như Mai,"66A Đặng Như Mai,Quận Cẩm Lệ,Đà Nẵng",10.0,Café/Dessert-Món Việt,12:00 - 22:00,
Cơm Bà Vân - Nguyễn Phong Sắc,"08 Nguyễn Phong Sắc, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",2.6,Quán ăn-Món Việt,09:00 - 22:00,7.000đ -20.000đ
Mì Quảng Sáng,"Ngã Tư Yên Thế - Nguyễn Đình Tứ,Quận Cẩm Lệ,Đà Nẵng",8.6,Quán ăn-Món Miền Trung- Gia đình,06:00 - 09:30,15.000đ -20.000đ
Hạ Coffee,"18 Nguyễn Văn Thông, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",6.0,Café/Dessert,06:30 - 22:00,
Trà Sữa Chipi,"72 Phan Văn Trị,Quận Cẩm Lệ,Đà Nẵng",6.0,"Ăn vặt/vỉa hè-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng",16:00 - 21:00,10.000đ -15.000đ
Kim Dung Bakery,"An Hòa 11, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.2,"Shop Online-Món Miền Trung- Gia đình, Nhóm hội, Giới văn phòng",09:00 - 21:00,5.000đ -70.000đ
Nhà Hàng Song Trúc,"187 Lê Trọng Tấn, P.  Hòa Phát,Quận Cẩm Lệ,Đà Nẵng",8.4,"Nhà hàng-Món Việt- Gia đình, Nhóm hội",10:00 - 22:00,35.000đ -200.000đ
Nước Mía Siêu Sạch - Cao Sơn Pháo,"Cao Sơn Pháo, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",6.5,Ăn vặt/vỉa hè-Món Việt- Nhóm hội,08:00 - 17:00,5.000đ -7.000đ
Bảo Đô Cafe,"73 Nguyễn Duy,Quận Cẩm Lệ,Đà Nẵng",10.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",07:00 - 22:00,10.000đ -25.000đ
Sanh Coffee - Văn Tiến Dũng,"50 Văn Tiến Dũng, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.0,"Café/Dessert-Món Việt- Cặp đôi, Nhóm hội, Giới văn phòng",06:00 - 22:00,10.000đ -29.000đ
Car Coffee,"630 Nguyễn Hữu Thọ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.8,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Giới văn phòng",07:00 - 20:00,10.000đ -25.000đ
King Gold - Cafe & Milktea,"236 Phan Đăng Lưu, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.1,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng",06:00 - 21:00,12.000đ -35.000đ
New Sky Cafe - Xô Viết Nghệ Tĩnh,"Lô 768/A7 Xô Viết Nghệ Tĩnh,Quận Cẩm Lệ,Đà Nẵng",8.1,Café/Dessert-Món Việt,07:00 - 23:00,15.000đ -44.000đ
Sweet Home - Cafe & Restaurant,"3 - 5 Trần Đình Long,Quận Cẩm Lệ,Đà Nẵng",8.2,"Nhà hàng,Café/Dessert-Món Việt- Cặp đôi, Gia đình, Giới văn phòng",07:00 - 22:00,20.000đ -50.000đ
Quán Hương - Mì Quảng Phú Chiêm,"Nguyễn Phong Sắc,Quận Cẩm Lệ,Đà Nẵng",6.8,"Quán ăn-Món Quảng- Sinh viên, Gia đình, Nhóm hội",06:00 - 10:00,15.000đ -20.000đ
Bảo Ngọc Cafe - Cách Mạng Tháng 8,"365 Cách Mạng Tháng 8,Quận Cẩm Lệ,Đà Nẵng",1.0,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",07:00 - 22:00,10.000đ -30.000đ
Stop Here Cafe,"Lô 24A Lê Đại Hành,Quận Cẩm Lệ,Đà Nẵng",6.6,Café/Dessert-Món Việt- Nhóm hội,07:00 - 22:00,10.000đ -30.000đ
Cháo Nhà Ồm - Shop Online,"46 Hóa Mỹ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",10.0,"Shop Online-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",06:30 - 19:30,15.000đ -30.000đ
Noir Kafe,"58 Lê Văn Linh,Quận Cẩm Lệ,Đà Nẵng",8.2,"Café/Dessert-Món Việt- Cặp đôi, Nhóm hội, Giới văn phòng",06:00 - 22:00,12.000đ -35.000đ
Bảo An Coffee,"28 Hoàng Thế Thiện,Quận Cẩm Lệ,Đà Nẵng",8.0,Café/Dessert,09:00 - 21:00,
Khánh Ly Cafe,"138 Lê Trọng Tấn,Quận Cẩm Lệ,Đà Nẵng",7.8,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội",06:30 - 22:00,10.000đ -30.000đ
Tùng Cận Coffee,"80 Văn Cận, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",6.2,"Café/Dessert-Món Việt- Sinh viên, Cặp đôi, Nhóm hội, Giới văn phòng",07:00 - 21:00,10.000đ -25.000đ
Phố Hội Cafe,"67 - 73 Lý Nhân Tông, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.1,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",06:00 - 22:00,17.000đ -45.000đ
Quán Ăn Miền Bắc,"Ngã Tư Lê Ngân - Bãi Sậy,Quận Cẩm Lệ,Đà Nẵng",7.4,"Quán ăn-Món Bắc- Cặp đôi, Gia đình, Nhóm hội",06:00 - 10:00,15.000đ -20.000đ
Gmart - Món Ngon Nhà Làm - Shop Online,"28 An Hòa 6, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,"Ăn vặt/vỉa hè,Shop Online",07:00 - 21:00,25.000đ -100.000đ
Ăn Vặt - Shop Online,"31 Nguyễn Huy Tưởng,Quận Cẩm Lệ,Đà Nẵng",7.4,"Shop Online-Món Việt- Gia đình, Nhóm hội",09:00 - 22:00,20.000đ -50.000đ
