Tên,Link,Địa chỉ,Đánh giá,Số review,Mô tả ngắn,Giờ mở cửa,Giá tiền,Bình luận 1,Bình luận 2,Bình luận 3
Ryn Shop - Bar Equipment & Coffee,https://www.foody.vn/da-nang/ryn-shop-bar-equipment-coffee,"60 Nguyễn Quý Đức, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,1,"Café/Dessert-Món Việt- Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:00 - 22:00,15.000đ -200.000đ,"8.0Ryn Shop - Bar Equipment & CoffeeQuán mới khai trương gần đây, không gian decor đẹp, nhân viên thân thiện dễ mến.
Thực đơn có nhiều món thân thuộc để chọn lựa, pha chế ngon.
Đặc biệt giá cả siêu phải chăng luôn....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Nhà Hàng Nam Hào 2 - Chuyên Món Ăn Đồng Quê & Sông Núi,https://www.foody.vn/da-nang/nha-hang-nam-hao-2-chuyen-mon-an-dong-que-song-nui,"251 Lê Đại Hành,Quận Cẩm Lệ,Đà Nẵng",8.0,1,"Nhà hàng-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Khách du lịch",08:30 - 22:30,40.000đ -350.000đ,"8.0Nhà Hàng Nam Hào 2 - Chuyên Món Ăn Đồng Quê & Sông NúiNhà hàng cũng khá rộng rãi, nằm ở đường hơi khó tìm xíu. Menu ở đây cũng khá nhiều món, đặc biệt là các món đặc sản như heo rừng, gà, thỏ...và cả hải sản tươi sống nữa.
Mình ăn mẹt gà khá ngon, chế biến thành nhiều món nên cũng đỡ ngán.
Nhân viên phục vụ cũng ok....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
CukCuk BBQ - Đinh Văn Chấp,https://www.foody.vn/da-nang/cuk-cuk-bbq-dinh-van-chap,"90 Đinh Văn Chấp, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",8.1,6,"Quán ăn-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Khách du lịch",11:00 - 14:00,65.000đ -120.000đ,"7.0#REVIEWNOWQuán này cũng gần gần nhà mình và nằm ở cái đường cũng hơi vắng. chắc chỉ có ai thực sự yêu đồ nướng và biết thì mới biết quán.
Nhưng mà thích lắm nghen vì không gian sân vườn cực đẹp, làm mấy cái party bbq đồ là cực hợp luôn. có có khu vui chơi cho trẻ em. nói chung sang và sáng lán 
Thịt nướng áp dụng giá Hàn, không rẻ. Nhưng phục vụ nhiệt tình chu đáo và đồ ăn cũng khá là ô kê đó. Quán hào phóng pancha lắm nè. Bữa mình ăn cơm trộn thấy ngon nhưng chưa thực sự ấn tượng vì không gian chiếm sóng hết rồi...Xem thêm","8.8CukCuk BBQ - Đinh Văn ChấpThích không gian quán. Có chỗ cho e bé chơi, có baby chair. Nhà vườn rộng rãi hoáng, decor đẹp ko bị ám mùi khói sau khi ăn xong. A chủ ng Hàn và nhân viên đều thân thiện. Chỗ đậu xe thoải mái. 
Đồ ăn ngon, giá phải chăng...Xem thêm","9.0CukCuk BBQ - Đinh Văn ChấpQuán đổi địa điểm nhưng vì thèm quá nên cứ thế đi chả ngại 😂 công nhận địa điểm mới đáng công đi dễ sợ, chill cực kì luôn í 😍
Kgian quán mng có thể tổ chức party nhỏ nhỏ cực chill, mát mẻ mà lại không bị gò bó, cũng có bàn trong nhà tuỳ theo ý thích. Và có cả 1 nhà đồ chơi cho e bé, các gđình có con nhỏ đi ăn ở đây khỏi sợ e bé k có chỗ chơi này 👍🏻 
Đồ ăn ngon, nhưng thực ra là k thấm bằng khi ở đg Bình Minh, có điều vẫn khá ổn. Nvien thân thiện nhiệt tình 👍🏻...Xem thêm"
Rose Coffee - Ngôi Nhà Hoa Hồng,https://www.foody.vn/da-nang/rose-coffee-ngoi-nha-hoa-hong,"63 Bùi Thiện Ngộ,Quận Cẩm Lệ,Đà Nẵng",8.2,2,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",07:00 - 22:00,20.000đ -50.000đ,"8.2Quán coffee xinh xắn, dễ thươngĐúng như tên gọi, không gian quán khá xinh và rất thiên nhiên với nhiều cây cỏ. Bên cạnh view dưới vườn thì phía trên homestay cũng rất dễ thương. Bên cạnh đó, còn có nuôi mấy bé thỏ, nhưng lưu ý khi chụp cùng bé thỏ thì nên nhẹ tay tránh sờ vào bụng thỏ dễ tổn thương nha. Đồ uống vs giá thành đều ổn. Mình nghĩ nên đến quán vào ban ngày thì sẽ lung linh hơn, 1 điểm trừ nhỏ là quán không gian mở không có điều hoà nên hơi nóng tẹo :3...Xem thêm",8.2Rose Coffee - Ngôi Nhà Hoa HồngQuán này là kiểu cafe kết hợp homestay bên Hòa Xuân. cầu Nguyễn Tri Phương rẽ trái chút xíu là tới. Tên quán là hoa hồng nên chủ đạo là cây cỏ hoa hồng các thứ. Chụp hình rất deep. Quán còn nuôi 1 em cừu và bầy thỏ cực dễ thương. Mấy em rất quấn người nên tha hồ chụp ké để khoe Fb :))) Gía nước thì khá rẻ do khu ni cũng xa và mới. Gần sông nên không khí thoáng đãng mát mẻ. Nói chung đi xa chút nhưng chất :D...Xem thêm,Sửacommon_delete...Xem thêm
HTK Coffee & Trà Chanh,https://www.foody.vn/da-nang/htk-coffee-tra-chanh,"32 Nguyễn Phước Lan (Ngã Tư Nguyễn Phước Lan - Mai Chí Thọ),Quận Cẩm Lệ,Đà Nẵng",8.4,1,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội-Chi nhánh",07:00 - 22:00,10.000đ -35.000đ,"8.4HTK Coffee & Trà ChanhKhu hoà xuân nay nhiều quán mới mọc lên ghê, mình đi ngang thấy quán này mới khai trương hôm thứ 2 nên rủ bạn ghé vô nè. Không gian khá to rộng
Quán VIP khu hoà xuân là đây chứ còn đâu nữa
qua cầu hoà xuân chạy thẳng tầm 5’ là thấy quán bên tay phải, không gian đẹp, rộng, chú trọng decor, có hồ cá koi giữa quán luôn nè
Menu giá tầm 10k trở lên, giá khá rẻ so vs không gian và mặt bằng như vậy á
Ở đây có tổ chức chiếu bóng đá nữa, lên lầu hay ngồi tầng 1 đều ok hết đó...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Mì Quảng Dì Ba,https://www.foody.vn/da-nang/mi-quang-di-ba,"Ngã Tư Hoàng Đạo Thúy - Nguyễn Phước Tấn,Quận Cẩm Lệ,Đà Nẵng",7.2,2,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Nhóm hội",06:00 - 10:00,12.000đ -15.000đ,"6.8Mì quảng ngonQuán ni mình đang kết. Dì trước đây có bán cả bánh mì ốp la nhưng bữa ni chỉ chuyên bán mì quảng thôi. Tô 15k có 2 trứng cút, 1 tôm và 3,4 lát thịt mỏng. Rau sống khá sạch sẽ, ăn yên tâm lại không bị sạn như nhiều chỗ. Dì nêm nếm khá thấm, trứng cút hay tôm đều okie hết, thịt thì ngon lắm. Quán bình dân nên cũng nhỏ nhỏ dăm bộ bàn nhưng khách ăn lai rai cũng nhiều. Dì cũng vui vẻ thân thiện. Sẽ ghé ăn tiếp vì rẻ và ngon lắm...Xem thêm","7.6Mì Dì BaDì ba bán mì ngay sau nhà mình nên buổi sáng mình hay ra ăn. Dì bán mì 12 hoặc 15 k tuỳ bạn gọi. Dì ba bán mì ngon, sợi mì ngon, thịt thấm, ăn tổng thể thì mình thấy ngon hehe. Dì còn bán bánh mì ốp la ( một mìnb ốp la thôi, ko bán các loại khác tới ). Dì còn bỏ ốp la bỏ chảo để bạn ăn. Ốp la bỏ chảo thì 15k (2 trứng) còn bánh mì ốp la thì chỉ 8k thôi. Nói chung dì hiền lành mà bán cũng ngon nữa mấy bạn nên thử...Xem thêm",Sửacommon_delete...Xem thêm
Trà Sữa Ăn Vặt Sấm Sét - Lương Đình Của,https://www.foody.vn/da-nang/tra-sua-an-vat-sam-set-luong-dinh-cua,"01 Lương Định Của, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",7.4,1,Café/Dessert,06:00 - 22:00,5.000đ -40.000đ,7.4Trà sữa thái đỏQuán nhỏ nhưng nc uống chất lượng nha. Trà sữa ngon đậm vị....Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Lò Bánh Mì Ly Na,https://www.foody.vn/da-nang/lo-banh-mi-ly-na,"Đô Đốc Lộc,Quận Cẩm Lệ,Đà Nẵng",8.2,1,"Tiệm bánh-Món Việt- Sinh viên, Gia đình, Nhóm hội",07:00 - 22:00,5.000đ -50.000đ,8.2Lò Bánh Mì Ly NaBÁNH RẤT NGON...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Nem Dì Lài - Đặc Sản Nha Trang,https://www.foody.vn/da-nang/nem-di-lai-dac-san-nha-trang,"70 Bùi Kỷ, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",8.0,1,"Quán ăn-Nha Trang- Gia đình, Nhóm hội, Giới văn phòng",15:00 - 21:00,20.000đ -320.000đ,8.0Nem Dì Lài - Đặc Sản Nha TrangOrder qua now chứ chưa tới quán lần mô. Nhưng thấy chất lượng. Miếng nem to. Đóng hộp sạch đẹp chất lượng và quan trọng là ngon á...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Cháo Dinh Dưỡng Linh Nhi - Cháo - Bình Thái 1,https://www.foody.vn/da-nang/chao-dinh-duong-linh-nhi,"38 Bình Thái 1,P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.0,4,"Quán ăn-Món Miền Trung- Gia đình, Trẻ em",06:00 - 12:00,10.000đ -15.000đ,"10Nhân viên rất thân thiệnCác chị nhân viên ở cửa hàng cháo này rất vui vẻ và nhớ khá tốt từng khách hàng, nhớ mình lần trước đến mua cháo gì nữa, hỏi mình có thay đổi cho bé món khác nhé! tư vấn ok và nhẹ nhàng, mình thấy rất hài lòng. (like)...Xem thêm","10Thích ngay cái nhìn đầu tiênMình đã nghiên cứu và lựa chọn kỹ cho bé yêu nhà mình món cháo ngon đầy đủ dinh dưỡng, Cửa hàng cháo dinh dưỡng Linh Nhi này nấu theo công thức gia truyền, bé nhà mình ăn ngon miệng luôn ăn hết cả tô, bé lên cân đều và khỏe mạnh hiếu động, đặc biệt cửa hàng có bán thêm món SÚP cũng khá ngon, tôi luôn thay đổi giữa Súp và cháo cho bé. Tôi rất thích cách bày trí tủ và băng rôn, bảng hiệu của quán, nhìn rất bắt mắt....Xem thêm","6.0Cháo dinh dưỡng ăn ngon tuyệtNhà mình k có trẻ con, cả nhà đều là ng lớn vì cháo dành cho mọi lứa tuổi, nên thỉnh thoảng cũng ghé qua cửa hàng cháo này mua vài hộp về ăn, cả nhà mình đều thích ăn  và cửa hàng cháo ở gần nhà. Mình thích thái độ phục vụ của nhân viên ở đây rất vui vẻ chào đón khách hàng....Xem thêm"
Selfwing V-Garden Café,https://www.foody.vn/da-nang/selfwing-v-garden-cafe,"50 Bùi Thiện Ngộ,Quận Cẩm Lệ,Đà Nẵng",6.0,1,Café/Dessert,08:00 - 20:00,30.000đ -50.000đ,"6.0Selfwing V-Garden CaféĐây là vườn ươm giáo dục Nhật chi chi đó rất nổi trong cộng đồng các bà mẹ bỉm sữa. Chỗ này nằm ngay ven sông, vị thế cực đẹp, khuôn viên rất rộng và xây cũng mất time khá lâu. Nghe nói là đất sinh hoạt của 1 trường mầm non dưới phố, họ tận dụng làm mô hình vui chơi giáo dục cho trẻ luôn.
Nhưng đợt mình tới thì khá thất vọng, giá nước đắt từ 45k, 55k trở lên. Bánh quy tự làm mình tính mua thì thấy toàn bán 1 cái mấy chục cho tới mấy trăm ngàn 1 bịch xíu xiu. Mẫu mã thì chán, cốc nước làm cũng ko có gì đặc sắc. Thôi coi như trả luôn cả phí vui chơi cho trẻ.
Nhưng thực sự cũng khá thất vọng. Khu đồ chơi thì bé tẹo, đồ chơi như đồ chơi cũ sứt đầu mẻ trán vứt bừa vào khuôn viên chơi chung. mà chỗ chơi chung cũng nhỏ, tầm 3, 4m2 chi thôi mà cả đống trẻ bâu vào nhau. Mô hình nghe tên thì hay nhưng đến ko thấy ai tư vấn gì ngoài 2 nhân viên tại quầy order và pha chế luôn. Thiếu tính tương tác trầm trọng.
Khu cafe người lớn cũng không nhiều lựa chọn. ngoài ra khu chơi ngoài trời cũng chỉ có dăm ba cái xích đu, cầu trượt. 
Hình như quán đang đầu tư thêm dần dần kiểu cuốn chiếu. Mong lần sau ghé lại mọi thứ sẽ đa dạng hơn chứ hiện tại thì đến 1 lần ko có động lực quay lại....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Hạ Duy Quán - Bò Né,https://www.foody.vn/da-nang/ha-duy-quan-bo-ne,"133 Phạm Tứ,Quận Cẩm Lệ,Đà Nẵng",6.1,3,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",06:00 - 21:30,20.000đ -40.000đ,"5.0Bò né tạm đcKo ngon lắm , dĩa 30k được ít đồ ăn , đồ ăn tạm ổn...Xem thêm","7.2Hạ Duy Quán - Bò NéNhớ hồi quán mới mở thì giống như là quán duy nhất bán bò né ở khu vực Cẩm Lệ này. Quán cực hot luôn. Và bây giờ sau 3-4 năm thì vẫn vậy. Vẫn hình như là quán duy nhất bán bò né :))))))) Và cũng rất đông :)))))

Một phần như hình là 30k, thịt bò rất mềm và thấm. Xá xíu thì hơi mặn chút chút nhưng ngon, ăn kèm chút pate mịn mịn thơm thơm. Trứng làm chín hết hoặc chín sơ tuỳ ý mình nên ai ưng ăn sông sống thì nhớ nói họ.
Có thêm chén nước lèo nóng hổi để rưới vào chấm kèm bánh mỳ nữa. Bánh mỳ ở đây giòn giòn ăn ngon, không bị xìu mềm.
Chỗ này ngày thường thì khách lai rai ra vào đều, tầm trưa mới nghỉ. Riêng thứ 7 chủ nhật là ôi thôi đông quá trời đông.

Ngoài bò né thì quán bán nhiều món lắm nhé, bún bò mì xá xíu v.v... đủ cả ^^...Xem thêm","6.2Hạ Duy Quán - Bò NéQuán này vài thứ bảy với chủ nhật là nhà nhà, người người đi ăn đông lắm luôn ý. Phục vụ hơi chậm một chút, không gian quán thì thoáng có cây che, món ăn thì mình thấy bình thường....Xem thêm"
Pate Ông Sáng Đà Nẵng,https://www.foody.vn/da-nang/pate-ong-sang-da-nang,"K259/9/1 Tôn Đản,Quận Cẩm Lệ,Đà Nẵng",9.8,21,"Shop Online-Món Việt- Gia đình, Nhóm hội",07:00 - 23:00,65.000đ -170.000đ,"10Pate Ông Sáng Đà NẵngPate chất lượng thơm ngon
Mình ăn pate rất ít mà từ ngày ăn pate bên này nghiện pate ăn nhiều hẳn luôn.  Pate ở đây ăn rất ngon nha, không bị hôi gan hay gì luôn 😂 pate không bị ngấy mà ăn xong vẫn cứ thèm ăn luôn ấy. 
Chắc chắn sẽ ủng hộ pate ông sáng dài dài á. mọi người nên mua chỗ này nha....Xem thêm","10Pate Ông Sáng Đà NẵngPate ở đây ngonnn
Pate ông sáng thì không cần nói nhiều nữa rồi, mình ăn rất hợp với mình, không bị ngấy như những chỗ khác. Từ ngày biết Pate ông sáng cái không muốn ăn pate ở đâu nữa luôn...Xem thêm","10Pate Ông Sáng Đà NẵngPate đỉnhhhh
Mình ăn ở đây nhiều lần rồi nè, pate ở đây thơm ngon và không bị ngấy. Đóng gói rất kĩ càng, nhìn bắt mắt mà còn hợp vệ sinh nên mình rất thích. Chăm sóc khách hàng bên này rất xịn xò, nhiệt tình <3...Xem thêm"
Thính - Ẩm Thực Hà Nội,https://www.foody.vn/da-nang/thinh-am-thuc-ha-noi,"37 Phan Khôi, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",9.6,1,"Quán ăn-Món Bắc- Sinh viên, Gia đình, Nhóm hội, Giới văn phòng",10:00 - 22:00,5.000đ -40.000đ,"9.6Địa chỉ mới của các món ăn vặt Hà Nội, nhất là dồi, chẹp chẹpMình biết quán qua bạn mình. Quán decor khá xinh, thoáng mát. Món dồi xuất sắc lắm luôn. Mình tìm quán bán dồi ngon mà ở đn đúng khó tìm. Quán có nhiều món lắm, tất cả các món đều không quá 39k, kể cả mẹt bún đậu mắm tôm đầy đặn. Thế mà món đặc biệt ở quán mà nhiều bạn ít biết lại là ""thính"", thử 2 loại ăn bùi bùi, cuốn cùng rau thơm. Ở đây còn có bánh giò, hôm mình đi thì hết mất. Thèm bánh giò dã man....Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Cafe La,https://www.foody.vn/da-nang/cafe-la,"36 Nguyễn Văn Thông, P. Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng",10.0,1,Café/Dessert,07:00 - 18:00,10.000đ -50.000đ,"10Tuyệt vờiMình đến La không chỉ vì không gian mà còn vì chất lượng thức uống sạch sẽ và chất lượng 👍 Đang tìm thức uống trên Now thì vô tình thấy La, một tiệm mà mình yêu thích từ lâu, mừng quá trời. Từ nay có không tiện đến quán vẫn có thể ship về uống rồi, vừa tiện vừa đã cơn thèm kakakkaa 😍😍😍...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
M-1989 Coffee - Cafe Muối,https://www.foody.vn/da-nang/1989-coffee-cafe-muoi,"4 Cẩm Bắc 8, P. Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",8.6,1,"Café/Dessert-Món Việt- Sinh viên, Nhóm hội, Giới văn phòng, Khách du lịch-Chi nhánh",07:00 - 21:00,13.000đ -25.000đ,"8.61989 Coffee - Cafe MuốiKhông thích uống cafe nhưng nghe mọi người khen ngon cũng đặt về uống thử . Cô chủ dễ thương vui tính, giá cũng rẻ so với chỗ khác, nói chung cafe rất ngon!Cảm giác bây giờ là thèm.😍😍...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
King Cua - Cơm Tự Chọn & Bún Riêu Cua,https://www.foody.vn/da-nang/king-cua-com-tu-chon-bun-rieu-cua,"286 Xô Viết Nghệ Tĩnh,Quận Cẩm Lệ,Đà Nẵng",8.0,1,"Quán ăn-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng-Chi nhánh",06:00 - 14:00,25.000đ -40.000đ,"8.0King Cua - Cơm Tự Chọn & Bún Riêu CuaKhông gian sạch sẽ, cơm tự chọn giá tầm 25k - 40k thôi, ai ưng ăn món nào thì vô tự gắp, sau đó quán sẽ tính tiền nha. Ăn xong còn có trái cây tráng miệng nữa, đồ ăn bày biện sạch sẽ, nhìn khá ngon luôn...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Mr.Beer Food & Beer,https://www.foody.vn/da-nang/mr-beer-food-beer,"141 Xô Viết Nghệ Tĩnh, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.4,1,Nhà hàng,09:00 - 22:00,45.000đ -150.000đ,"9.4Không gian thoáng, đẹp, đồ ăn ngonKhông gian thoáng mát, đẹp, đồ ăn ngon, decor đẹp, trang trí sinh nhật free, địa điểm thích hợp họp mặt, liên hoan, sinh nhật...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Sushi Bơ - Sushi - Trần Đình Nam,https://www.foody.vn/da-nang/sushi-bo-sushi-tran-dinh-nam.n4gbw5,"K155/83/9 Trần Đình Nam, P. Hòa An,Quận Cẩm Lệ,Đà Nẵng",7.5,2,"Shop Online-Quốc tế- Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",09:00 - 22:00,,10Sushi Bơ - Sushi - Trần Đình NamMón ăn rất tươi và rất ngon.trang trí và đóng gói rất cẩn thận.sẽ ủng hộ mãi mãi...Xem thêm,"5.0Sushi Bơ - Sushi - Trần Đình NamMón ăn tươi ngon, trang trí đẹp, gói hộp giấy sạch sẽ và giá lại rẻ nữa. Sẽ ủng hộ shop thêm nữa....Xem thêm",Sửacommon_delete...Xem thêm
Nem's Shop Bakeries - Trường Chinh,https://www.foody.vn/da-nang/nem-s-shop-bakeries-truong-chinh,"K1226/35 Trường Chinh,Quận Cẩm Lệ,Đà Nẵng",9.0,1,"Ăn vặt/vỉa hè-Món Việt- Sinh viên, Gia đình, Nhóm hội",09:00 - 22:00,22.000đ -42.000đ,"9.0Ngon, rẻĐồ ăn ngon, nóng giòn, còn đc chủ quán tặng thêm ly nước ngọt 😁😁😁...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Farmer Coffee,https://www.foody.vn/da-nang/farmer-coffee,"48 - 50 Lê Đại Hành, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",5.8,5,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng",07:00 - 22:00,10.000đ -30.000đ,4.2Không ngon. Chỉ có thể nói thế!Tôi khg ăn nhưng con gái nói con khg thể ăn được vì dở quá. Nước cacao cũng dở luôn!...Xem thêm,"1.2Phục vụ tệ quáPhục vụ tệ, bàn hàng gì mà sale thấy đổi như lừa người. Để sale là mua 1 tặng 1 nhưng đến nơi thì không hề có. Cơm lâu đến điện thoại thì không nghe máy. Chán...Xem thêm","6.4TốtHôm nay Quán có khuyến mãi 45% trên deliverynow nên order về lần đầu tiên, chứ quán xa quá tiền ship cũng cực hình, và chất lượng tốt ngoài mong đợi. Cơm rắc hành ăn béo béo, cơ mà về lâu dài chắc sẽ lên cân lắm đây :)))) miếng sườn to, có thêm tí kim chi, xà lách và cà chua. Gọi 2 hộp có khuyến mãi thì trung bình chỉ 21k/đứa. Đã vậy còn được cho kèm khăn giấy ướt nữa hiuhiu 💜💜💜...Xem thêm"
96s Food - Bún Đậu Mắm Tôm - Shop Online,https://www.foody.vn/da-nang/96s-food-bun-dau-mam-tom-shop-online,"01 Đoàn Nguyễn Thục, P. Hoà Thọ Đông,Quận Cẩm Lệ,Đà Nẵng",10.0,1,"Quán ăn,Shop Online",10:00 - 20:00,25.000đ -45.000đ,1096s Food - Shop OnlineĐáng để thử nha mọi người <3...Xem thêm,Sửacommon_delete...Xem thêm,...Xem thêm
Mây Ngàn Cafe,https://www.foody.vn/da-nang/may-ngan-cafe,"93 Ông Ích Đường,Quận Cẩm Lệ,Đà Nẵng",9.2,1,Café/Dessert-Món Việt- Sinh viên,07:00 - 22:00,8.000đ -25.000đ,"9.2Mây Ngàn CafeCà phê ở đây đặc biệt ngon nhé. Vì là cà phê lấy trực tiếp từ Pleiku. Quán có sân vườn , đồ uống với giá dao  động khá rẻ. Cô chủ làm nước rất ngon. Sẽ quay lại nhiều hơn để chụp view . Quán thích hợp để tụ tập bạn bè nữa đấy ^^...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Seeds Coffee,https://www.foody.vn/da-nang/seeds-coffee,"8 Thành Thái, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",10.0,2,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",06:30 - 22:00,19.000đ -45.000đ,"10Seeds CoffeeKhông gian đẹp, rộng rãi. Quán sử dụng ly thuỷ tinh, ống hút giấy rất đẹp. Nước uống ngon, nhân viên lịch sự. Sẽ quay lại nếu có dịp....Xem thêm","10Quá tuyệt vờiđồ uống  ngon, buổi trưa ăn xong làm ly trà mát cả ruột, không quá ngọt như những chỗ khác, sẽ tiếp tục order những lần sau...Xem thêm",Sửacommon_delete...Xem thêm
R&B Coffee,https://www.foody.vn/da-nang/r-b-coffee,"63 Lương Định Của, P. Khuê Trung,Quận Cẩm Lệ,Đà Nẵng",9.4,2,"Café/Dessert-Món Việt- Cặp đôi, Gia đình, Nhóm hội",06:00 - 22:00,15.000đ -35.000đ,"9.0Cafe ngon, không gian khá okNgồi quán này uống cafe thưởng thức nhạc và kèm ăn món gì gọi có món đó. Cách đó 5 nhà là rất nhiều món ăn Nào là cháo lươn, súp lươn, bún, mì... còn có Cao lầu, Bò kho, Hoành thánh cải thìa, Bò sốt vang, Súp cua rong biển, Ốp la xíu mai, Bánh mỳ thịt xíu... giá cả phải chăng từ 10k đến 25 k. Chỉ cần gọi 0917483238 là có ngay. Thưởng thức cà phê như thế thì còn gì sướng hơn. Đối diện có quán cũng ok nhưng không gian hẹp hơn quán này nhiều...Xem thêm",9.8R&B CoffeeQuán mát mẻ thoải mái. Thức uống ngon và rẻ. 😁😁😁...Xem thêm,Sửacommon_delete...Xem thêm
Zế's Cakes,https://www.foody.vn/da-nang/ze-s-cakes,"621 Tôn Đản, P. Hoà Phát,Quận Cẩm Lệ,Đà Nẵng",8.4,7,"Tiệm bánh-Món Việt- Gia đình, Nhóm hội, Giới văn phòng",08:00 - 21:30,30.000đ -50.000đ,"9.0Zế's Cakeslâu lâu thèm bông lan trứng muối liền order 1 hộp bên này ăn chơi chơi mà ai ngờ no thật sự á mọi người. bánh to đầy đặn lại nhiều sốt , phô mai, cốt bánh dày , nhìn cái lớp bánh mà mê liền. Chị chủ quán cũng dễ thương nhiệt tình 😍😍😍...Xem thêm",8.8NgonBánh thơm ngon xuất thần. 2 lớp sốt chà bông luôn phía trên và ở giữa nữa thích lắm cơ cốt bánh mềm sốt trứng thơm chà bông siêu nhiều. Anh chị chủ thân thiện bán hàng dễ mến nữa nè...Xem thêm,"7.8Zế's CakesBông lan trứng muối khá ngon. Sốt phủ đầy, trứng muối vừa đủ tuy nhiên cốt bánh còn hơi khô một tẹo. Nếu tiệm cải thiện được thì bánh sẽ càng ngon hơn....Xem thêm"
Quán Nhậu 777,https://www.foody.vn/da-nang/quan-nhau-777,"Ven Sông Đường Thăng Long,Quận Cẩm Lệ,Đà Nẵng",7.6,1,"Quán nhậu-Món Miền Trung- Cặp đôi, Gia đình, Nhóm hội",09:00 - 22:30,40.000đ -150.000đ,"7.6Quán Nhậu 777Quán nằm phía ven sông, đối diện nhà hàng Đảo Nổi là 1 dãy quán nhậu. 
Thấy quán này cũng đông đúc nên ghé vào. 
Không gian quán rộng rãi, thoáng mát, ven sông nên rất mát. Bàn ghế bài trí cũng cách nhau nên chỗ ngồi cũng thoải mái.
Menu đa dạng từ gà, cá, hải sản, bê non, lươn, ... Mỗi món trung bình tầm 60 - 70k. Gọi món xong trong lúc đợi thì có thể nhâm nhi bánh tráng. Bánh tráng ở đây là bánh tráng dừa ăn giòn và ngon. 
Cánh gà chiên mắm: Ăn ổn, gà được chiên giòn da, thấm vị.
Mọc lươn: ăn cũng lạ miệng. Có bún tàu, nấm mèo, lươn ... được hấp lên ăn cũng đỡ ngán và khá lạ.
Bò cuộn nấm kim châm: 1 dĩa được 2 xiên . Mỗi xiên khoảng 5 cuộn bò. Bò mềm. Chấm kèm tương ớt
Bê non: món này dùng cải xanh cuộn 1 miếng thịt ở giữa sau đó chấm kèm nước chấm. Nước chấm gồm muối tiêu xanh, 1 ít mù tạt. Thịt mềm, tan trong miệng kèm nước chấm cay cay ăn khá ngon.
Nhìn chung giá ổn. Thích hợp cho gia đình hoặc tụ tập bạn bè
Nhân viên nhanh nhẹn...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
Mì Quảng 331,https://www.foody.vn/da-nang/mi-quang-331,"119 Lê Đình Kỵ, P. Hoà An,Quận Cẩm Lệ,Đà Nẵng",7.2,1,"Quán ăn-Món Miền Trung- Sinh viên, Gia đình, Giới văn phòng-Chi nhánh",06:00 - 14:00,15.000đ -20.000đ,"7.2Mì Quảng 331Quán ăn sạch sẽ, phục vụ chu đáo hương vị đặc trưng không lẫn ở đâu được , món ăn thật tuyệt vời...Xem thêm",Sửacommon_delete...Xem thêm,...Xem thêm
